City,Lat,Lon,Maximum Temp,Humidity,Cloudiness,Wind,Country,Date
ostrovnoy,68.0531,39.5131,8.42,91,100,9.86,RU,1612657561
strezhevoy,60.7333,77.5889,33.8,93,90,13.42,RU,1612657816
turukhansk,65.8167,87.9833,-3.41,89,100,12.39,RU,1612657816
dudinka,69.4058,86.1778,-34.42,80,0,9.15,RU,1612657816
mehkar,20.1508,76.569,55.78,42,0,6.62,IN,1612657817
tateyama,34.9833,139.8667,55.4,62,20,6.91,JP,1612657817
sovetskiy,61.3614,63.5842,-9.87,90,100,13.53,RU,1612657817
elizabeth city,36.2946,-76.2511,44.01,61,75,3.44,US,1612657817
ugoofaaru,5.6667,73.0,81.39,72,23,10.45,MV,1612657817
muhos,64.808,25.9931,12.2,85,0,10.36,FI,1612657818
buala,-8.145,159.5921,79.48,79,100,7.02,SB,1612657818
briancon,44.9,6.65,41.0,89,98,3.83,FR,1612657819
khipro,25.8285,69.3772,54.09,37,0,3.42,PK,1612657819
sola,-13.8833,167.55,82.17,71,34,4.7,VU,1612657563
kavieng,-2.5744,150.7967,85.57,64,50,4.05,PG,1612657819
port macquarie,-31.4333,152.9167,84.0,51,100,5.01,AU,1612657819
klaksvik,62.2266,-6.589,33.8,69,40,14.97,FO,1612657761
coihaique,-45.5752,-72.0662,71.6,35,0,18.41,CL,1612657591
lazaro cardenas,17.9583,-102.2,75.49,72,0,3.31,MX,1612657820
makakilo city,21.3469,-158.0858,78.8,44,1,13.8,US,1612657820
lasa,46.6166,10.7002,39.99,100,90,11.5,IT,1612657820
saint-marc-des-carrieres,46.6834,-72.0491,17.6,73,0,4.61,CA,1612657820
mossendjo,-2.9506,12.7261,70.38,96,27,1.77,CG,1612657820
kpandae,8.4689,-0.0113,82.56,55,100,7.02,GH,1612657820
pokhara,28.2333,83.9833,47.44,49,0,4.07,NP,1612657820
jacareacanga,-6.2222,-57.7528,74.59,95,100,1.16,BR,1612657574
novyy urengoy,66.0833,76.6333,-19.23,87,100,14.54,RU,1612657821
port blair,11.6667,92.75,78.93,74,0,8.12,IN,1612657821
wasilla,61.5814,-149.4394,23.0,86,1,1.28,US,1612657821
leningradskiy,69.3833,178.4167,-10.07,74,29,5.01,RU,1612657821
kodiak,57.79,-152.4072,37.4,60,1,9.22,US,1612657678
arlit,18.7369,7.3853,62.96,25,18,5.95,NE,1612657821
nioro,13.35,-15.75,70.02,27,79,10.25,GM,1612657822
strelka,58.0728,93.0344,25.56,97,100,7.25,RU,1612657822
golkoy,40.6875,37.6178,48.2,71,0,11.61,TR,1612657822
dalen,52.6992,6.7556,28.99,80,100,17.0,NL,1612657822
cabedelo,-6.9811,-34.8339,78.8,83,20,4.61,BR,1612657822
bahile,9.9995,118.7878,84.2,70,40,13.8,PH,1612657823
kupang,-10.1667,123.5833,82.4,94,20,10.36,ID,1612657823
isangel,-19.55,169.2667,86.0,79,20,5.75,VU,1612657823
micheweni,-4.9667,39.8333,80.33,77,96,6.98,TZ,1612657824
wilmington,34.2257,-77.9447,48.99,66,90,6.91,US,1612657658
gat,31.61,34.7642,55.99,100,1,1.12,IL,1612657741
elko,41.0002,-115.5012,50.0,27,1,18.41,US,1612657748
cedar city,37.6775,-113.0619,51.8,19,1,10.36,US,1612657824
kedrovyy,56.1667,91.8167,24.8,86,40,6.71,RU,1612657824
champerico,14.3,-91.9167,84.2,61,20,6.91,GT,1612657757
batagay-alyta,67.8006,130.4114,-26.18,84,99,2.19,RU,1612657598
ormara,25.2088,64.6357,66.25,44,0,7.85,PK,1612657825
muros,42.7762,-9.0603,37.99,94,66,3.0,ES,1612657825
north platte,41.1239,-100.7654,10.4,67,90,8.05,US,1612657825
mangrol,21.1167,70.1167,64.31,37,0,12.64,IN,1612657825
svobodnyy,51.4,128.1333,-15.2,86,0,7.07,RU,1612657825
marystown,47.1666,-55.1483,38.28,91,100,20.4,CA,1612657825
aginskoye,51.1,114.53,-7.6,87,47,4.61,RU,1612657826
alice springs,-23.7,133.8833,84.99,29,8,16.11,AU,1612657826
santa rosa,14.3122,121.1114,84.0,78,40,10.54,PH,1612657826
te anau,-45.4167,167.7167,73.13,43,4,3.36,NZ,1612657602
nabire,-3.3667,135.4833,79.74,75,100,0.43,ID,1612657826
mahina,-17.5065,-149.489,86.0,54,20,12.66,PF,1612657826
tautira,-17.7333,-149.15,86.0,54,20,12.66,PF,1612657826
ocean city,39.2776,-74.5746,42.8,42,1,3.44,US,1612657826
izazi,-7.2,35.7333,68.0,83,75,5.75,TZ,1612657827
nanortalik,60.1432,-45.2371,24.17,87,100,9.69,GL,1612657827
college,64.8569,-147.8028,-5.01,71,90,0.89,US,1612657827
lata,40.1629,-8.3327,51.01,82,87,1.01,PT,1612657827
shingu,33.7333,135.9833,51.8,62,40,6.91,JP,1612657827
balykshi,47.0667,51.8667,15.8,79,0,6.71,KZ,1612657827
ayni,39.3941,68.5377,38.35,69,100,9.13,TJ,1612657827
debre birhan,9.6833,39.5333,46.18,94,98,5.12,ET,1612657827
sosnovo-ozerskoye,52.5249,111.5418,-10.35,89,76,4.68,RU,1612657756
makokou,0.5738,12.8642,70.88,91,75,2.57,GA,1612657828
antalaha,-14.9003,50.2788,75.04,85,100,4.12,MG,1612657828
bodden town,19.2833,-81.25,81.0,78,20,11.5,KY,1612657828
naples,40.8333,14.25,57.99,71,0,3.44,IT,1612657703
sur,22.5667,59.5289,62.19,65,0,6.24,OM,1612657828
takoradi,4.8845,-1.7554,79.63,87,0,10.4,GH,1612657828
renfrew,55.872,-4.3925,36.0,93,90,14.97,GB,1612657828
farafenni,13.5667,-15.6,69.33,27,82,9.91,GM,1612657829
forli,44.2236,12.0528,46.99,93,100,1.77,IT,1612657829
abu samrah,35.3029,37.1841,49.06,73,0,4.54,SY,1612657829
iraan,30.914,-101.8979,63.0,5,0,1.99,US,1612657829
kabarnet,0.4919,35.743,56.43,79,0,1.68,KE,1612657829
gigmoto,13.7796,124.39,80.82,81,89,13.06,PH,1612657829
rodrigues alves,-7.738,-72.6509,76.1,85,3,1.52,BR,1612657829
weston,26.1004,-80.3998,73.4,94,90,3.44,US,1612657830
luangwa,-15.6167,30.4167,72.72,93,100,1.68,ZM,1612657830
chicama,-7.8447,-79.1469,69.8,88,75,11.5,PE,1612657830
krasnyy klyuch,55.3863,56.6529,-2.92,90,100,14.05,RU,1612657830
jieshi,22.8134,115.8257,64.99,75,0,13.98,CN,1612657830
milford,41.2223,-73.0565,41.0,38,1,10.36,US,1612657831
necochea,-38.5473,-58.7368,62.01,80,0,4.0,AR,1612657538
the valley,18.217,-63.0578,78.8,83,40,11.5,AI,1612657564
sorong,-0.8833,131.25,82.17,77,100,1.43,ID,1612657831
yurty,56.0498,97.6348,16.27,95,93,5.3,RU,1612657832
tessalit,20.1986,1.0114,71.76,18,89,13.24,ML,1612657770
fairlie,55.756,-4.8556,37.0,85,97,7.0,GB,1612657832
sukumo,32.9333,132.7333,56.17,61,0,8.48,JP,1612657833
paulista,-7.9408,-34.8731,78.8,73,20,6.91,BR,1612657833
talnakh,69.4865,88.3972,-29.31,72,0,1.83,RU,1612657833
birjand,32.8663,59.2211,44.6,15,0,11.5,IR,1612657833
hualmay,-11.0964,-77.6139,71.01,78,100,8.28,PE,1612657833
chifeng,42.2683,118.9636,5.67,87,0,5.01,CN,1612657833
vila velha,-20.3297,-40.2925,82.0,88,75,4.61,BR,1612657758
clyde river,70.4692,-68.5914,-9.4,77,75,4.27,CA,1612657833
tauranga,-37.6861,176.1667,71.01,57,100,5.99,NZ,1612657617
hinton,53.4001,-117.5857,-0.4,60,100,6.91,CA,1612657834
tarko-sale,64.9225,77.785,-6.18,91,100,15.39,RU,1612657751
kapit,2.0167,112.9333,75.27,95,100,1.57,MY,1612657834
vardo,70.3705,31.1107,27.25,96,100,27.67,NO,1612657744
along,28.1667,94.7667,49.03,53,25,1.66,IN,1612657780
borkenes,68.774,16.1739,30.0,84,96,27.0,NO,1612657834
dukat,62.55,155.55,-3.41,87,100,6.26,RU,1612657834
merauke,-8.4667,140.3333,83.66,75,100,14.23,ID,1612657593
vila franca do campo,37.7167,-25.4333,59.0,94,75,21.85,PT,1612657835
namatanai,-3.6667,152.4333,86.18,62,99,5.37,PG,1612657835
thinadhoo,0.5333,72.9333,81.18,75,8,12.21,MV,1612657765
havre-saint-pierre,50.2334,-63.5986,30.2,93,90,16.11,CA,1612657835
san patricio,28.017,-97.5169,71.6,43,1,10.36,US,1612657835
hailar,49.2,119.7,-12.46,86,0,4.59,CN,1612657836
mendi,-6.1761,143.6513,70.07,73,83,3.0,PG,1612657836
flinders,-34.5833,150.8552,80.01,61,13,3.0,AU,1612657836
fortuna foothills,32.6578,-114.4119,75.2,14,1,9.22,US,1612657690
belyy yar,53.6039,91.3903,5.0,85,3,2.24,RU,1612657836
daru,-9.0763,143.2092,87.51,65,6,10.13,PG,1612657837
terra roxa,-23.8557,-50.0314,68.0,99,18,5.01,BR,1612657837
simao,22.7886,100.9748,56.98,93,70,0.94,CN,1612657837
comodoro rivadavia,-45.8667,-67.5,57.2,72,40,9.22,AR,1612657828
qasigiannguit,68.8193,-51.1922,26.6,33,0,26.46,GL,1612657837
port augusta,-32.5,137.7667,71.01,68,90,12.66,AU,1612657837
pevek,69.7008,170.3133,-5.93,88,31,5.46,RU,1612657739
hanting,36.7708,119.2108,36.03,75,0,11.68,CN,1612657837
badin,24.656,68.8384,55.08,44,0,4.52,PK,1612657837
quelimane,-17.8786,36.8883,82.4,89,20,2.39,MZ,1612657756
vilyuysk,63.7553,121.6247,-33.47,83,68,5.57,RU,1612657838
ternate,0.8,127.4,80.29,78,100,3.56,ID,1612657838
solnechnyy,50.7214,136.6319,-0.26,88,100,5.7,RU,1612657838
sibiti,-3.6819,13.3499,69.49,99,6,1.83,CG,1612657838
mizdah,31.4451,12.9801,60.66,31,100,5.59,LY,1612657838
abrau-dyurso,44.69,37.59,28.0,93,100,13.42,RU,1612657839
faya,18.3851,42.4509,46.4,81,20,0.94,SA,1612657839
narok,-1.0783,35.8601,58.91,84,19,2.8,KE,1612657839
teya,60.3778,92.6267,20.46,94,100,7.92,RU,1612657839
hamilton,39.1834,-84.5333,32.0,51,1,3.44,US,1612657677
poum,-20.2333,164.0167,79.99,68,0,4.83,NC,1612657840
wuda,39.4994,106.7117,25.74,84,0,0.72,CN,1612657840
ust-nera,64.5667,143.2,-22.0,76,30,5.08,RU,1612657840
ouadda,8.0777,22.4007,63.68,27,4,7.45,CF,1612657840
ucluelet,48.9329,-125.5528,51.01,71,20,19.57,CA,1612657610
altay,47.8667,88.1167,21.4,86,0,4.18,CN,1612657840
kannangad,12.3081,75.1063,71.92,61,77,4.97,IN,1612657840
kenai,60.5544,-151.2583,18.0,86,90,6.91,US,1612657840
moberly,39.4184,-92.4382,14.0,79,90,6.91,US,1612657841
phalombe,-15.8064,35.6507,68.47,94,100,1.52,MW,1612657842
victoria,22.2855,114.1577,66.99,68,0,7.47,HK,1612657715
saint-pierre,-21.3393,55.4781,78.8,73,75,6.91,RE,1612657843
dalby,-27.1833,151.2667,88.0,50,36,3.0,AU,1612657698
fraserburgh,57.6874,-2.0184,33.01,80,100,8.01,GB,1612657843
pyay,18.8167,95.2167,72.39,57,68,2.24,MM,1612657843
wajima,37.4,136.9,41.0,93,75,11.5,JP,1612657843
kassala,15.451,36.4,55.92,63,0,7.87,SD,1612657843
fukue,32.6881,128.8419,53.6,71,20,3.44,JP,1612657843
rovenki,48.0833,39.3776,19.98,87,79,12.39,UA,1612657844
makubetsu,45.3714,141.8211,14.0,85,75,11.5,JP,1612657844
pangoa,-12.1167,-73.0,71.06,94,55,1.81,PE,1612657844
lithgow,-33.4833,150.15,68.0,98,31,3.0,AU,1612657844
hobyo,5.3505,48.5268,76.75,80,0,14.63,SO,1612657844
beni,0.5,29.4667,63.93,67,13,2.13,CD,1612657845
dzaoudzi,-12.7887,45.2699,80.6,83,90,8.05,YT,1612657845
phalaborwa,-23.943,31.1411,73.4,100,93,1.14,ZA,1612657845
tamasane,-22.4184,27.4013,67.32,94,97,8.88,BW,1612657845
santa cruz,-17.8,-63.1667,84.2,51,20,2.3,BO,1612657759
veshenskaya,49.6303,41.7334,15.39,85,100,14.74,RU,1612657845
bignona,12.8103,-16.2264,68.0,64,0,6.91,SN,1612657846
fukuma,33.7667,130.4667,53.01,81,40,6.91,JP,1612657783
celestun,20.8667,-90.4,73.85,84,0,7.29,MX,1612657846
mustafakemalpasa,40.0353,28.4117,48.2,93,0,3.44,TR,1612657846
labuhan,-6.8844,112.2051,81.59,80,0,9.8,ID,1612657846
pucallpa,-8.3791,-74.5539,80.6,83,40,3.44,PE,1612657846
hofn,64.2539,-15.2082,32.59,92,100,18.03,IS,1612657658
yuli,9.6989,10.2744,71.29,22,15,6.04,NG,1612657846
agadez,19.75,10.25,59.56,30,68,5.41,NE,1612657847
emba,48.8264,58.1442,10.35,94,66,12.06,KZ,1612657847
aksum,14.1245,38.7244,39.88,73,0,2.21,ET,1612657847
great falls,47.5002,-111.3008,-0.99,78,90,12.66,US,1612657847
ixtapa,20.7,-105.2,73.4,78,20,8.05,MX,1612657847
henties bay,-22.116,14.2845,64.0,90,5,1.99,NA,1612657847
carballo,43.213,-8.691,39.99,94,85,1.01,ES,1612657718
rozvadiv,49.5,23.6167,21.99,86,0,11.18,UA,1612657848
khash,28.2211,61.2158,41.83,61,0,2.01,IR,1612657848
portland,45.5234,-122.6762,46.99,87,90,20.71,US,1612657733
charters towers,-20.1,146.2667,83.75,63,100,5.5,AU,1612657599
salinopolis,-0.6136,-47.3561,79.0,88,58,9.78,BR,1612657688
sabzevar,36.2126,57.6819,48.36,59,100,6.13,IR,1612657848
bull savanna,17.8868,-77.5902,73.99,88,9,13.02,JM,1612657848
port hedland,-20.3167,118.5667,84.2,61,2,10.36,AU,1612657743
benguela,-12.5763,13.4055,72.54,84,100,3.29,AO,1612657849
zurrieq,35.8311,14.4742,60.8,94,0,9.22,MT,1612657850
kuala pilah,2.7389,102.2487,77.0,88,20,4.61,MY,1612657568
buraydah,26.326,43.975,50.0,100,75,5.75,SA,1612657850
yulara,-25.2406,130.9889,82.4,26,1,21.85,AU,1612657731
zhigansk,66.7697,123.3711,-38.54,80,97,12.88,RU,1612657735
matara,5.9485,80.5353,73.67,89,30,4.76,LK,1612657851
orocue,4.7912,-71.3354,84.15,57,69,8.14,CO,1612657851
san juan,-31.5375,-68.5364,85.66,34,0,6.69,AR,1612657840
yershov,51.3513,48.2766,6.87,92,100,14.36,RU,1612657851
katherine,-14.4667,132.2667,75.2,94,90,5.75,AU,1612657851
lar,26.2039,83.9717,47.55,70,0,3.06,IN,1612657851
syracuse,37.0881,15.2792,55.0,100,100,9.22,IT,1612657747
lobito,-12.3481,13.5456,74.14,83,100,3.62,AO,1612657851
garden acres,37.9638,-121.2294,64.4,42,1,3.44,US,1612657852
kosh-agach,50.0,88.6667,-2.72,86,0,1.66,RU,1612657852
chino valley,34.7575,-112.4538,60.01,12,1,4.61,US,1612657852
tazovskiy,67.4667,78.7,-25.33,86,44,10.47,RU,1612657852
beira,-19.8436,34.8389,82.4,83,40,4.61,MZ,1612657639
grand-santi,4.25,-54.3833,72.93,97,100,2.77,GF,1612657853
port shepstone,-30.7414,30.455,74.05,88,100,6.29,ZA,1612657853
kasongo-lunda,-6.4667,16.8167,71.94,89,99,1.03,CD,1612657853
saint-augustin,51.226,-58.6502,34.16,95,100,17.94,CA,1612657669
sterling,39.0062,-77.4286,41.0,56,90,4.61,US,1612657707
rosario,-32.9468,-60.6393,84.99,65,0,4.85,AR,1612657853
plettenberg bay,-34.0527,23.3716,66.87,77,52,6.11,ZA,1612657853
vilhena,-12.7406,-60.1458,75.2,88,40,2.3,BR,1612657853
vanavara,60.34,102.2797,10.36,95,100,9.64,RU,1612657854
serenje,-13.2325,30.2352,61.99,96,100,1.99,ZM,1612657854
vestmannaeyjar,63.4427,-20.2734,39.34,72,32,28.9,IS,1612657648
russell,32.3502,-85.1999,42.8,87,90,5.75,US,1612657809
dauphin,51.1494,-100.0502,-22.0,63,1,11.5,CA,1612657854
talcahuano,-36.7167,-73.1167,59.0,94,90,5.75,CL,1612657854
jaguarari,-10.2639,-40.1958,76.84,41,93,3.06,BR,1612657854
nizwa,22.9333,57.5333,49.55,64,0,1.34,OM,1612657855
sampit,-2.5333,112.95,76.46,95,100,1.63,ID,1612657723
sambava,-14.2667,50.1667,74.88,89,100,4.81,MG,1612657855
ouesso,1.6136,16.0517,74.8,76,93,2.35,CG,1612657855
numaligarh,26.6333,93.75,58.08,63,100,1.28,IN,1612657855
mareeba,-17.0,145.4333,88.0,70,75,4.61,AU,1612657855
nortelandia,-14.4547,-56.8028,74.93,89,97,3.09,BR,1612657855
baruun-urt,46.6806,113.2792,-9.22,84,0,8.95,MN,1612657856
korla,41.7597,86.1469,24.98,86,0,2.24,CN,1612657581
lima,-12.0432,-77.0282,75.0,78,75,11.5,PE,1612657804
dalvik,65.9702,-18.5286,32.0,74,75,3.44,IS,1612657856
rio gallegos,-51.6226,-69.2181,59.0,41,0,4.61,AR,1612657824
longyearbyen,78.2186,15.6401,17.6,79,75,11.5,SJ,1612657856
hasaki,35.7333,140.8333,46.4,57,20,4.61,JP,1612657856
san cristobal,7.7669,-72.225,82.4,65,100,2.3,VE,1612657856
pimentel,-6.8367,-79.9342,73.4,73,75,18.41,PE,1612657856
kandalaksha,67.162,32.4123,19.99,95,100,7.58,RU,1612657857
nagato,34.3833,131.2,51.8,81,75,2.3,JP,1612657857
nevelsk,46.6733,141.8633,-4.0,84,92,8.95,RU,1612657857
sucua,-2.4667,-78.1667,69.8,83,75,4.61,EC,1612657857
manaure,11.7751,-72.4445,78.37,66,100,19.17,CO,1612657857
zemio,5.0314,25.1361,65.32,27,14,5.35,CF,1612657857
suntar,62.1444,117.6319,-19.55,88,100,2.98,RU,1612657857
brae,60.3964,-1.353,33.8,64,40,17.27,GB,1612657858
kutum,14.2,24.6667,47.32,51,0,8.21,SD,1612657858
sioux lookout,50.1001,-91.917,-13.0,64,90,11.5,CA,1612657858
sokolo,14.7328,-6.1219,78.28,18,100,17.05,ML,1612657858
gidam,18.9833,81.4,55.02,51,99,2.37,IN,1612657858
adrar,20.5022,-10.0711,56.39,42,70,11.88,MR,1612657858
moron,-34.6534,-58.6198,82.0,48,0,1.88,AR,1612657858
iracoubo,5.4802,-53.2011,77.25,87,100,14.45,GF,1612657858
hobara,37.8167,140.55,48.0,71,24,5.99,JP,1612657859
ashland,40.8167,-82.2665,17.6,53,1,4.61,US,1612657812
kununurra,-15.7667,128.7333,82.4,89,40,2.3,AU,1612657593
mazatlan,23.2167,-106.4167,69.8,73,1,5.75,MX,1612657859
ostrovskoye,57.8057,42.2433,-6.88,89,100,10.09,RU,1612657859
albury,-36.0833,146.9167,75.0,60,0,9.22,AU,1612657614
kristiinankaupunki,62.2743,21.376,15.75,97,85,7.76,FI,1612657859
waipawa,-41.4122,175.5153,73.99,72,100,10.36,NZ,1612657860
saint-joseph,-21.3667,55.6167,78.8,73,75,6.91,RE,1612657860
gusinoye ozero,51.1144,106.2614,-6.79,85,82,1.45,RU,1612657860
utica,43.1009,-75.2327,23.0,50,1,4.61,US,1612657860
bulgan,48.8125,103.5347,1.96,83,0,2.57,MN,1612657598
krasnoselkup,65.7,82.4667,-10.77,89,100,11.95,RU,1612657861
lagoa,39.05,-27.9833,59.99,91,100,25.81,PT,1612657861
peniche,39.3558,-9.3811,53.01,69,25,8.99,PT,1612657861
kalispell,48.1958,-114.3129,30.99,86,90,5.75,US,1612657861
kamenka,51.3223,42.7678,7.0,81,99,12.1,RU,1612657742
taree,-31.9,152.4667,80.6,65,40,10.36,AU,1612657862
ipoti,7.8738,5.0769,70.0,48,100,3.53,NG,1612657862
inuvik,68.3499,-133.7218,-18.4,76,100,4.61,CA,1612657862
adrasmon,40.6472,69.9856,46.4,66,40,17.9,TJ,1612657862
ca mau,9.1769,105.15,78.42,74,100,5.21,VN,1612657811
